Tie Line,Box,SD Slot,Ch.,DESIGNATION,Mic,Stand,Notes,HEAPS GRASS,BELIEVE,KAIROS,,,,,,,,,,,,,,,,,,
FB2 EC-A,A1,S1-01,1,KICK F,KSM32,Very Short,,KICK F,KICK F,KICK F,,,,,,,,,,,,,,,,,,
,A2,S1-02,2,KICK B,B57A,Very Short,,KICK B,KICK B,KICK B,,Counter: Mics,Amount,,Mon,Name,,,,,,,,,,,FB1 EC-A,MD 421
,A3,S1-03,3,SN T,C451,Short,,SN T,SN T,SN T,,MD 421,0,,1,,,,,,,,,,,,FB2 EC-A,M88
,A4,S1-04,4,SN B,M201,Short,,SN B,SN B,SN B,,M 88,0,,2,,,,,,,,,,,,FB2 EC-B,M 88
FB2 EC-B,B1,S1-05,5,HAT,C451,Tall Tele,,HAT,HAT,HAT,,M 201,1,,3,,,,,,,,,,,,FB2 XLR-A,M201
,B2,S1-06,6,R1,e614,Short,,R1,R1,R1,,SM57,0,2,4,,,,,,,,,,,,FB2 XLR-B,M 201
,B3,S1-07,7,GTR 614,e614,Short,,R2,R2,R2,,B57A,1,2,5,,,,,,,,,,,,FB3 EC-A,SM57
,B4,S1-08,8,FLR,e614,Short,,FLR,FLR,FLR,,B58A,0,,6,,,,,,,,,,,,FB4 EC-A,SM 57
FB3 EC-A,C1,S2-01,9,OH SR,MKH 8040,Tall Tele,,OH SR,OH SR,OH SR,,B52A,0,,7,,,,,,,,,,,,FB4 XLR-A,B 57A
,C2,S2-02,10,OH SL,MKH 8040,Tall Tele,,OH SL,OH SL,OH SL,,B91A,0,,8,,,,,,,,,,,,FB4 XLR-B,B57A
,C3,S2-03,11,SPD L,JDI Stereo,,,,,SPD L,,e 904,0,,,,,,,,,,,,,,FB5 EC-A,B 58A
,C4,S2-04,12,SPD R,,,,,,SPD R,,e 906,0,,IEM,Name,,,,,,,,,,,FB5 EC-B,B58A
FB6 EC-A,D1,S2-05,13,BASS DI,J48,-,,BASS DI,BASS DI,BASS DI,,e 614,3,,1,,,,,,,,,,,,FB5 XLR-A,B52A
,D2,S2-06,14,BASS BUG,DPA 4099,Clip - Bass,,BASS BUG,BASS BUG,BASS BUG,,e 835s,0,,2,,,,,,,,,,,,FB5 XLR-B,B 52A
,D3,S2-07,15,GTR 57,,,,BASS HOLE,BASS HOLE,BASS HOLE,,e 901,0,,3,,,,,,,,,,,,FB6 EC-A,B91A
,D4,S2-08,16,BASS AMP,,-,XLR,BASS AMP,BASS AMP,BASS AMP,,e 902,0,,4,,,,,,,,,,,,FB6 XLR-A,B 91A
FB4 EC-A,E1,S3-01,17,PNO OMNI LO,DPA 4006,,Felix special,PNO OMNI LO,PNO OMNI LO,PNO OMNI LO,,KSM 32,1,,5,,,,,,,,,,,,FB6 XLR-B,e904
,E2,S3-02,18,PNO OMNI HI,DPA 4006,,Felix special,PNO OMNI HI,PNO OMNI HI,PNO OMNI HI,,DPA 4099,3,,6,,,,,,,,,,,,FB7 EC-A,e 904
,E3,S3-03,19,PNO KEY LO,DPA 4099,Clip - Piano,,PNO KEY LO,PNO KEY LO,PNO KEY LO,,KSM 137,0,,7,,,,,,,,,,,,FB8 EC-A,e906
,E4,S3-04,20,PNO KEY HI,DPA 4099,Clip - Piano,,PNO KEY HI,PNO KEY HI,PNO KEY HI,,C 414,0,,8,,,,,,,,,,,,FB8 EC-B,e 906
FB7 EC-A,F1,S3-05,21,PNO CT LO,C411,-,,PNO CT LO,PNO CT LO,PNO CT LO,,MKH 8020,2,,,,,,,,,,,,,,FB9 EC-A,e614
,F2,S3-06,22,PNO CT HI,C411,-,,PNO CT HI,PNO CT HI,PNO CT HI,,MKH 8040,4,,,,,,,,,,,,,,RS1 EC-A,e 614
,F3,S3-07,23,PROPHET L,,-,,,,PROPHET L,,C 451,2,,,,,,,,,,,,,,RS1 EC-B,e835s
,F4,S3-08,24,PROPHET R,,-,,,,PROPHET R,,DPA 4006,2,,,,,,,,,,,,,,RS1 XLR-A,e 835s
FB8 EC-A,G1,S4-01,25,BASS CLARI,MKH 8040,Short,,GTR 414,,CLARI,,C 411,2,,,,,,,,,,,,,,RS1 XLR-B,e901
,G2,S4-02,26,CLARI,MKH 8040,Short,,GTR 8040,,BASS CLARI,,JDI Mono,0,,,,,,,,,,,,,,RS2 EC-A,e 901
,G3,S4-03,,SAX,,,MISC 1,,,SAX,,JDI Stereo,1,,,,,,,,,,,,,,RS2 EC-B,e902
,G4,S4-04,.,TPET,,,MISC 2,,,TPET,,J48,1,,,,,,,,,,,,,,RS2 XLR-A,e 902
FB8 EC-B,H1,S4-05,29,SAX,,,MISC 3,,,TPET,,DPA 4088,0,,,,,,,,,,,,,,RS2 XLR-B,KSM32
,H2,S4-06,30, ,,,MISC 4,,,,,ULXD2 - B58A,0,,,,,,,,,,,,,,RS3 EC-A,KSM 32
,H3,S4-07,31,KEY L,,,MISC 5,,,,,ULXD2 - KSM9,2,,,,,,,,,,,,,,RS3 EC-B,DPA 4099
,H4,S4-08,32,KEY R,,,MISC 6,,,,,,,,,,,,,,,,,,,,RS3 XLR-A,KSM137
,,S5-01,33,,,,,,,,,Counter: Stands,Amount,,,,,,,,,,,,,,RS3 XLR-B,KSM 137
,,S5-02,34,RF2 Inst2,,,TBC,,,,,Tall Tele,5,,,,,,,,,,,,,,RS4 EC-A,C414
,,S5-03,35,RF3 VOX 1,ULXD2 - KSM9,Tall Tele,Hypercardi,,,,,Tall Boom,0,,,,,,,,,,,,,,RS4 EC-B,C 414
,,S5-04,36,RF4 VOX2,ULXD2 - KSM9,Tall Tele,Hypercadi,,,,,Very Short,2,,,,,,,,,,,,,,RS4 XLR-A,MKH 8020
,J1,S5-05,37,*~##~*,,,,,,,,Short,7,,,,,,,,,,,,,,RS4 XLR-B,MKH 8040
,J2,S5-06,38,*~##~*,,,,,,,,Round Base,0,,,,,,,,,,,,,,UB1 EC-A,C451
,J3,S5-07,39,*~##~*,,,,,,,,Recording Mast,0,,,,,,,,,,,,,,UB2 EC-A,C 451
,J4,S5-08,40,*~##~*,,,,,,,,Heavy Tall,0,,,,,,,,,,,,,,BG1 EC-A,DPA 4006
,K1,S6-01,41,*~##~*,,,,,,,,Clip - Piano,2,,,,,,,,,,,,,,BG1 EC-B,C411
,K2,S6-02,42,*~##~*,,,,,,,,Clip - Drum,0,,,,,,,,,,,,,,BG2 EC-A,C 411
,K3,S6-03,43,*~##~*,,,,,,,,Clip - Violin/a,0,,,,,,,,,,,,,,BG2 EC-B,JDI Mono
,K4,S6-04,44,*~##~*,,,,,,,,Clip - Cello,0,,,,,,,,,,,,,,RZ EC-1,JDI Stereo
,L1,S6-05,45,*~##~*,,,,,,,,Clip - Bass,1,,,,,,,,,,,,,,RZ EC-2,J48
,L2,S6-06,46,*~##~*,,,,,,,,Clip - Guitar,0,,,,,,,,,,,,,,RZ EC-3,DPA 4088
,L3,S6-07,47,*~##~*,,,,,,,,Clip - Sax / Brass,0,,,,,,,,,,,,,,RZ EC-4,ULXD2 - B58A
,L4,S6-08,48,*~##~*,,,,,,,,Clip - Other,0,,,,,,,,,,,,,,RZ EC-5,ULXD2 - B 58A
,M1,S7-01,49,*~##~*,,,,,,,,LP Claw,0,,,,,,,,,,,,,,RZ EC-6,ULXD2 - KSM9
,M2,S7-02,50,*~##~*,,,,,,,,Stereo Bar,0,,,,,,,,,,,,,,RX 1,-
,M3,S7-03,51,*~##~*,,,,,,,,Clamp,2,,,,,,,,,,,,,,RX 2,?
,M4,S7-04,52,*~##~*,,,,,,,,,,,,,,,,,,,,,,,RX 3,
,N1,S7-05,53,*~##~*,,,,,,,,,,,,,,,,,,,,,,,RX 4,
,N2,S7-06,54,*~##~*,,,,,,,,,,,,,,,,,,,,,,,,
,N3,S7-07,55,Room L,MKH 8020,Clamp,Truss,,,,,,,,,,,,,,,,,,,,,
,N4,S7-08,56,Room R,MKH 8020,Clamp,Truss,,,,,,,,,,,,,,,,,,,,,
